行政區,里別,鄰別,基本學區
北區,雙安,1 至 5 鄰、7 至 9 鄰、11 至 12 鄰,民德國中、文賢國中共同學區
北區,立人,5 至 7、10 鄰,民德國中、文賢國中共同學區
中西區,兌悅,1 至 10 鄰,民德國中、文賢國中、金城國中共同學區
中西區,兌悅,11 至 21 鄰,民德國中、文賢國中共同學區
中西區,五條港,9 至 15 鄰,民德國中、文賢國中共同學區
安南區,溪頂,全里,民德國中、海佃國中、安順國中共同學區
北區,大和,全里,文賢國中
北區,大港,全里,文賢國中
北區,大豐,全里,文賢國中
北區,元美,全里,文賢國中
北區,文元,全里,文賢國中
北區,文成,全里,文賢國中
北區,賢北,全里,文賢國中
北區,雙安,6、10 鄰,文賢國中
中西區,西和,1 至 6 鄰,文賢國中
中西區,五條港,1 至 8 鄰,文賢國中、金城國中共同學區
中西區,光賢,全里,文賢國中、金城國中共同學區
中西區,藥王,全里,文賢國中、金城國中共同學區
中西區,西和,7 至 19 鄰,文賢國中、金城國中共同學區
中西區,西湖,全里,文賢國中、金城國中、安平國中共同學區
中西區,西賢,全里,文賢國中、金城國中、安平國中共同學區
安南區,幸福,全里,文賢國中、海佃國中、九份子國中小共同學區
安南區,海佃,全里,文賢國中、海佃國中、九份子國中小共同學區
安南區,海南,全里,文賢國中、海佃國中、九份子國中小共同學區
安南區,國安,全里,文賢國中、海佃國中、九份子國中小共同學區
安平區,建平,全里,金城國中
安平區,文平,全里,金城國中
中西區,大涼,全里,金城國中
中西區,府前,全里,金城國中
中西區,南廠,全里,金城國中
中西區,淺草,全里,金城國中
安平區,怡平,全里,金城國中、安平國中共同學區
安平區,華平,全里,金城國中、安平國中共同學區
安平區,平安,全里,金城國中、安平國中共同學區
安平區,國平,1 至 18 鄰、22 至 23 鄰、33-35 鄰,金城國中、安平國中共同學區
安平區,天妃,全里,安平國中
安平區,王城,全里,安平國中
安平區,平通,全里,安平國中
安平區,育平,全里,安平國中
安平區,金城,全里,安平國中
安平區,國平,19 至 21 鄰、24 至 32 鄰,安平國中
安平區,漁光,全里,安平國中
安平區,億載,全里,安平國中
安南區,安富,全里,海佃國中
安南區,溪東,全里,海佃國中
